,K_home,QB_home,RB_home,TE_home,WR_home,K_away,QB_away,RB_away,TE_away,WR_away
K_home,22.658361126903433,3.2620933893623034,6.216950326230881,2.3345572679962125,5.265922303810725,-1.3468423657219077,-1.3209917170247383,-2.0481353447925925,-1.9788095096641152,0.4017523141389896
QB_home,3.2620933893623034,75.9735214450721,2.3344030319866467,24.40233938030788,72.76354521588203,0.9490403215363411,13.971138290863905,6.1875620108530045,8.266300779394918,13.780519632959212
RB_home,6.216950326230881,2.3344030319866467,108.79882144538166,-6.9417467693227675,-10.051332366240834,-3.3703390651623577,0.4096622663420578,-2.399116602562172,2.7779175352994168,2.8978399094547376
TE_home,2.3345572679962125,24.40233938030788,-6.9417467693227675,61.07701188367225,3.746340298619287,1.4040079536804135,5.380444497677682,3.773550133138394,1.7226452194319,6.30448421330557
WR_home,5.265922303810725,72.76354521588203,-10.051332366240834,3.746340298619287,218.2424872006987,4.140411925156237,16.229986646727472,3.951332912898405,7.6533104441621145,21.441441937028124
K_away,-1.3468423657219077,0.9490403215363411,-3.3703390651623577,1.4040079536804135,4.140411925156237,22.471426520970837,4.9732195895611255,7.65729010068699,0.7180177469776937,7.849744456542571
QB_away,-1.3209917170247383,13.971138290863905,0.4096622663420578,5.380444497677682,16.229986646727472,4.9732195895611255,72.16398451048572,9.001067780331132,20.603950608787432,68.55943317414908
RB_away,-2.0481353447925925,6.1875620108530045,-2.399116602562172,3.773550133138394,3.951332912898405,7.65729010068699,9.001067780331132,109.85013437811664,-1.0530143369984377,-7.514724480185674
TE_away,-1.9788095096641152,8.266300779394918,2.7779175352994168,1.7226452194319,7.6533104441621145,0.7180177469776937,20.603950608787432,-1.0530143369984377,60.73469237771917,-0.8474296296111268
WR_away,0.4017523141389896,13.780519632959212,2.8978399094547376,6.30448421330557,21.441441937028124,7.849744456542571,68.55943317414908,-7.514724480185674,-0.8474296296111268,220.18841362386445
