Player,FantPt,Cmp,Att,Tgt,Rt,Ret,Touch,Game_day_of_week,Game_num,Week_num,Date,Age,Team,,Opp,Result,PassingCmp,PassingAtt,PassingInc,PassingCmp%,PassingYds,PassingTD,PassingInt,PassingPick6,PassingTD%,PassingInt%,PassingRate,PassingSk,PassingYds2,PassingSk%,PassingY/A,PassingAY/A,PassingANY/A,PassingY/C,Touch2,TotOff,YScm,APYd,RtY,FantasyFantPt,FantasyPPR,FantasyDKPt,FantasyFDPt,RushingAtt,RushingYds,RushingY/A,RushingTD,Rushing1D,Kick ReturnsRt,Kick ReturnsYds,Kick ReturnsY/Rt,Kick ReturnsKRTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,ReceivingCtch%,ReceivingY/Tgt,Receiving1D,Punt ReturnsRet,Punt ReturnsYds,Punt ReturnsY/R,Punt ReturnsPRTD,Pos.,Draft
Trevor Lawrence,33.42,30,3,0,0,0,3,Sun,13,14,2022-12-11,23-066,JAX,@,TEN,W 36-22,30,42,12,71.4,368,3,0,,7.1,0.0,121.9,0,0,0.00,8.8,10.19,10.19,12.3,3,375,7,7,0,33.42,33.42,36.4,33.4,3,7,2.3,1,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Jared Goff,33.22,26,1,0,0,0,1,Sun,4,4,2022-10-02,27-353,DET,,SEA,L 45-48,26,39,13,66.7,378,4,1,1,10.3,2.6,121.5,1,9,2.50,9.7,10.59,10.10,14.5,1,370,1,1,0,33.22,33.22,37.2,34.2,1,1,1.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Jalen Hurts,33.02,26,11,0,0,0,11,Mon,2,2,2022-09-19,24-043,PHI,,MIN,W 24-7,26,31,5,83.9,333,1,1,,3.2,3.2,108.7,3,10,8.82,10.7,9.94,8.76,12.8,11,380,57,57,0,33.02,33.02,37.0,34.0,11,57,5.2,2,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,2-53
Stefon Diggs,32.80,0,0,15,0,0,12,Mon,2,2,2022-09-19,28-294,BUF,,TEN,W 41-7,0,0,0,,0,0,0,,,,,0,0,,,,,,12,0,148,148,0,32.80,44.80,47.8,38.8,0,0,,0,0,0,0,,0,15,12,148,12.3,3,80.0,9.9,6,0,0,,0,WR,5-146
Patrick Mahomes,32.74,36,5,0,0,0,5,Sun,14,15,2022-12-18,27-092,KAN,@,HOU,W 30-24 (OT),36,41,5,87.8,336,2,0,,4.9,0.0,117.1,2,23,4.65,8.2,9.17,8.21,9.3,5,346,33,33,0,32.74,32.74,35.7,32.7,5,33,6.6,1,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-10
Cam Akers,32.70,0,23,2,0,0,25,Sun,15,16,2022-12-25,23-186,LAR,,DEN,W 51-14,0,0,0,,0,0,0,,,,,0,0,,,,,,25,118,147,147,0,32.70,34.70,37.7,33.7,23,118,5.1,3,8,0,0,,0,2,2,29,14.5,0,100.0,14.5,2,0,0,,0,RB,2-52
Tony Pollard,32.70,0,14,1,0,0,15,Sun,8,8,2022-10-30,25-183,DAL,,CHI,W 49-29,0,0,0,,0,0,0,,,,,0,0,,,,,,15,131,147,147,0,32.70,33.70,36.7,33.2,14,131,9.4,3,6,0,0,,0,1,1,16,16.0,0,100.0,16.0,1,0,0,,0,RB,4-128
Joe Burrow,32.50,28,4,0,0,0,4,Sun,6,6,2022-10-16,25-310,CIN,@,NOR,W 30-26,28,37,9,75.7,300,3,0,,8.1,0.0,126.0,3,27,7.50,8.1,9.73,8.33,10.7,4,298,25,25,0,32.50,32.50,35.5,32.5,4,25,6.3,1,2,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Kirk Cousins,32.40,34,2,0,0,0,2,Sat,14,15,2022-12-17,34-120,MIN,,IND,W 39-36 (OT),34,54,20,63.0,460,4,2,1,7.4,3.7,99.3,7,34,11.48,8.5,8.33,6.82,13.5,2,426,0,0,0,32.40,32.40,37.4,34.4,2,0,0.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,4-102
Christian McCaffrey,32.26,1,18,9,0,0,26,Sun,8,8,2022-10-30,26-145,SFO,@,LAR,W 31-14,1,1,0,100.0,34,1,0,,100.0,0.0,158.3,0,0,0.00,34.0,54.00,54.00,34.0,26,128,149,149,0,32.26,40.26,40.3,36.3,18,94,5.2,1,5,0,0,,0,9,8,55,6.9,1,88.9,6.1,5,0,0,,0,RB,1-8
Austin Ekeler,31.90,0,16,4,0,0,20,Sun,5,5,2022-10-09,27-145,LAC,@,CLE,W 30-28,0,0,0,,0,0,0,,,,,0,0,,,,,,20,173,199,199,0,31.90,35.90,38.9,33.9,16,173,10.8,1,5,0,0,,0,4,4,26,6.5,1,100.0,6.5,2,0,0,,0,RB,
T.J. Hockenson,31.90,0,0,12,0,0,8,Sun,4,4,2022-10-02,25-091,DET,,SEA,L 45-48,0,0,0,,0,0,0,,,,,0,0,,,,,,8,0,179,179,0,31.90,39.90,42.9,35.9,0,0,,0,0,0,0,,0,12,8,179,22.4,2,66.7,14.9,7,0,0,,0,TE,1-8
D'Onta Foreman,31.80,0,26,1,0,0,26,Sun,8,8,2022-10-30,26-189,CAR,@,ATL,L 34-37 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,26,118,118,118,0,31.80,31.80,34.8,31.8,26,118,4.5,3,9,0,0,,0,1,0,0,,0,0.0,0.0,0,0,0,,0,RB,3-89
Geno Smith,31.70,23,7,0,0,0,7,Sun,4,4,2022-10-02,31-357,SEA,@,DET,W 48-45,23,30,7,76.7,320,2,0,,6.7,0.0,132.6,0,0,0.00,10.7,12.00,12.00,13.9,7,369,49,49,0,31.70,31.70,34.7,31.7,7,49,7.0,1,4,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,2-39
Josh Allen,31.48,26,10,0,0,0,10,Thu,1,1,2022-09-08,26-110,BUF,@,LAR,W 31-10,26,31,5,83.9,297,3,2,,9.7,6.5,112.0,2,5,6.06,9.6,8.61,7.94,11.4,10,348,56,56,0,31.48,31.48,33.5,33.5,10,56,5.6,1,4,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-7
Patrick Mahomes,31.14,26,7,0,0,0,7,Sun,9,10,2022-11-13,27-057,KAN,,JAX,W 27-17,26,35,9,74.3,331,4,1,,11.4,2.9,129.6,0,0,0.00,9.5,10.46,10.46,12.7,7,370,39,36,0,31.14,31.14,35.1,32.1,7,39,5.6,0,2,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-10
Tyreek Hill,31.00,0,0,13,0,0,11,Sun,2,2,2022-09-18,28-201,MIA,@,BAL,W 42-38,0,0,0,,0,0,0,,,,,0,0,,,,,,11,0,190,190,0,31.00,42.00,45.0,36.5,0,0,,0,0,0,0,,0,13,11,190,17.3,2,84.6,14.6,6,0,0,,0,WR,5-165
Tony Pollard,30.90,0,15,6,0,0,21,Sun,10,11,2022-11-20,25-204,DAL,@,MIN,W 40-3,0,0,0,,0,0,0,,,,,0,0,,,,,,21,80,189,189,0,30.90,36.90,39.9,33.9,15,80,5.3,0,5,0,0,,0,6,6,109,18.2,2,100.0,18.2,4,0,0,,0,RB,4-128
Patrick Mahomes,30.48,29,4,0,0,0,4,Mon,5,5,2022-10-10,27-023,KAN,,LVR,W 30-29,29,43,14,67.4,292,4,0,,9.3,0.0,117.6,3,27,6.52,6.8,8.65,7.50,10.1,4,293,28,28,0,30.48,30.48,30.5,30.5,4,28,7.0,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-10
Justin Jefferson,30.40,0,0,11,0,0,9,Sun,1,1,2022-09-11,23-087,MIN,,GNB,W 23-7,0,0,0,,0,0,0,,,,,0,0,,,,,,9,0,184,184,0,30.40,39.40,42.4,34.9,0,0,,0,0,0,0,,0,11,9,184,20.4,2,81.8,16.7,7,0,0,,0,WR,1-22
Amon-Ra St. Brown,30.40,0,2,12,0,0,11,Sun,2,2,2022-09-18,22-329,DET,,WAS,W 36-27,0,0,0,,0,0,0,,,,,0,0,,,,,,11,68,184,184,0,30.40,39.40,42.4,34.9,2,68,34.0,0,1,0,0,,0,12,9,116,12.9,2,75.0,9.7,5,0,0,,0,WR,4-112
Jalen Hurts,30.38,21,7,0,0,0,7,Sun,13,14,2022-12-11,24-126,PHI,@,NYG,W 48-22,21,31,10,67.7,217,2,0,,6.5,0.0,109.2,4,33,11.43,7.0,8.29,6.40,10.3,7,261,77,77,0,30.38,30.38,30.4,30.4,7,77,11.0,1,6,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,2-53
Joe Burrow,30.04,25,11,0,0,0,11,Sun,12,13,2022-12-04,25-359,CIN,,KAN,W 27-24,25,31,6,80.6,286,2,0,,6.5,0.0,126.6,1,7,3.13,9.2,10.52,9.97,11.4,11,325,46,46,0,30.04,30.04,30.0,30.0,11,46,4.2,1,4,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Josh Allen,29.92,24,10,0,0,0,10,Thu,11,12,2022-11-24,26-187,BUF,@,DET,W 28-25,24,42,18,57.1,253,2,1,,4.8,2.4,80.8,3,16,6.67,6.0,5.90,5.16,10.5,10,315,78,78,0,29.92,29.92,30.9,30.9,10,78,7.8,1,5,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-7
Jalen Hurts,29.82,16,17,0,0,0,17,Sun,11,12,2022-11-27,24-112,PHI,,GNB,W 40-33,16,28,12,57.1,153,2,0,,7.1,0.0,96.3,2,16,6.67,5.5,6.89,5.90,9.6,17,294,157,157,0,29.82,29.82,32.8,29.8,17,157,9.2,0,10,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,2-53
Davante Adams,29.70,0,0,12,0,0,8,Sun,12,13,2022-12-04,29-345,LVR,,LAC,W 27-20,0,0,0,,0,0,0,,,,,0,0,,,,,,8,0,177,177,0,29.70,37.70,40.7,33.7,0,0,,0,0,0,0,,0,12,8,177,22.1,2,66.7,14.8,8,0,0,,0,WR,2-53
