Player,FantPt,Cmp,Att,Tgt,Rt,Ret,Touch,Game_day_of_week,Game_num,Week_num,Date,Age,Team,,Opp,Result,PassingCmp,PassingAtt,PassingInc,PassingCmp%,PassingYds,PassingTD,PassingInt,PassingPick6,PassingTD%,PassingInt%,PassingRate,PassingSk,PassingYds2,PassingSk%,PassingY/A,PassingAY/A,PassingANY/A,PassingY/C,Touch2,TotOff,YScm,APYd,RtY,FantasyFantPt,FantasyPPR,FantasyDKPt,FantasyFDPt,RushingAtt,RushingYds,RushingY/A,RushingTD,Rushing1D,Kick ReturnsRt,Kick ReturnsYds,Kick ReturnsY/Rt,Kick ReturnsKRTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,ReceivingCtch%,ReceivingY/Tgt,Receiving1D,Punt ReturnsRet,Punt ReturnsYds,Punt ReturnsY/R,Punt ReturnsPRTD,Pos.,Draft
Pierre Strong,15.00,0,5,2,0,0,7,Mon,13,14,2022-12-12,24-002,NWE,@,ARI,W 27-13,0,0,0,,0,0,0,,,,,0,0,,,,,,7,70,90,90,0,15.00,17.00,17.0,16.0,5,70,14.0,1,3,0,0,,0,2,2,20,10.0,0,100.0,10.0,1,0,0,,0,RB,4-127
Kadarius Toney,15.00,0,2,5,0,2,6,Sun,9,10,2022-11-13,23-290,KAN,,JAX,W 27-17,0,0,0,,0,0,0,,,,,0,0,,,,,,6,33,90,101,11,15.00,19.00,19.0,17.0,2,33,16.5,0,1,0,0,,0,5,4,57,14.3,1,80.0,11.4,3,2,11,5.5,0,WR,1-20
Justin Tucker,15.00,0,0,0,0,0,0,Sun,5,5,2022-10-09,32-322,BAL,,CIN,W 19-17,0,0,0,,0,0,0,,,,,0,0,,,,,,0,0,0,0,0,15.00,15.00,0.0,16.0,0,0,,0,,0,0,,0,0,0,0,,0,,,,0,0,,0,K,
Justin Tucker,15.00,0,0,0,0,0,0,Sun,11,12,2022-11-27,33-006,BAL,@,JAX,L 27-28,0,0,0,,0,0,0,,,,,0,0,,,,,,0,0,0,0,0,15.00,15.00,0.0,15.0,0,0,,0,,0,0,,0,0,0,0,,0,,,,0,0,,0,K,
Jamaal Williams,15.00,0,11,2,0,0,12,Sun,1,1,2022-09-11,27-161,DET,,PHI,L 35-38,0,0,0,,0,0,0,,,,,0,0,,,,,,12,28,30,30,0,15.00,16.00,16.0,15.5,11,28,2.5,2,3,0,0,,0,2,1,2,2.0,0,50.0,1.0,0,0,0,,0,RB,4-134
Patrick Mahomes,14.98,18,3,0,0,0,3,Sat,17,18,2023-01-07,27-112,KAN,@,LVR,W 31-13,18,26,8,69.2,202,1,0,,3.8,0.0,105.0,2,21,7.14,7.8,8.54,7.18,11.2,3,210,29,29,0,14.98,14.98,15.0,15.0,3,29,9.7,0,2,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-10
Mitchell Trubisky,14.98,20,2,0,0,0,2,Thu,3,3,2022-09-22,28-033,PIT,@,CLE,L 17-29,20,32,12,62.5,207,0,0,,0.0,0.0,81.1,1,3,3.03,6.5,6.47,6.18,10.4,2,211,7,7,0,14.98,14.98,15.0,15.0,2,7,3.5,1,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-2
Jacoby Brissett,14.96,21,5,0,0,0,5,Sun,4,4,2022-10-02,29-295,CLE,@,ATL,L 20-23,21,35,14,60.0,234,0,1,,0.0,2.9,68.0,1,8,2.78,6.7,5.40,5.03,11.1,5,242,16,16,0,14.96,14.96,16.0,16.0,5,16,3.2,1,4,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,3-91
Mark Andrews,14.90,0,0,10,0,0,8,Sun,5,5,2022-10-09,27-033,BAL,,CIN,W 19-17,0,0,0,,0,0,0,,,,,0,0,,,,,,8,0,89,89,0,14.90,22.90,22.9,18.9,0,0,,0,0,0,0,,0,10,8,89,11.1,1,80.0,8.9,5,0,0,,0,TE,3-86
Isaiah Hodgins,14.90,0,0,12,0,0,8,Sat,15,16,2022-12-24,24-064,NYG,@,MIN,L 24-27,0,0,0,,0,0,0,,,,,0,0,,,,,,8,0,89,89,0,14.90,22.90,22.9,18.9,0,0,,0,0,0,0,,0,12,8,89,11.1,1,66.7,7.4,5,0,0,,0,WR,6-207
George Kittle,14.90,0,0,6,0,0,4,Sun,17,18,2023-01-08,29-091,SFO,,ARI,W 38-13,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,29,29,0,14.90,18.90,18.9,16.9,0,0,,0,0,0,0,,0,6,4,29,7.3,2,66.7,4.8,3,0,0,,0,TE,5-146
Cooper Kupp,14.90,0,2,12,0,0,10,Sun,7,8,2022-10-30,29-137,LAR,,SFO,L 14-31,0,0,0,,0,0,0,,,,,0,0,,,,,,10,10,89,89,0,14.90,22.90,22.9,18.9,2,10,5.0,0,1,0,0,,0,12,8,79,9.9,1,66.7,6.6,6,0,0,,0,WR,3-69
D.K. Metcalf,14.90,0,0,10,0,0,7,Sun,4,4,2022-10-02,24-292,SEA,@,DET,W 48-45,0,0,0,,0,0,0,,,,,0,0,,,,,,7,0,149,149,0,14.90,21.90,24.9,18.4,0,0,,0,0,0,0,,0,10,7,149,21.3,0,70.0,14.9,5,0,0,,0,WR,2-64
Jalen Nailor,14.90,0,0,3,0,0,3,Sun,16,17,2023-01-01,23-305,MIN,@,GNB,L 17-41,0,0,0,,0,0,0,,,,,0,0,,,,,,3,0,89,89,0,14.90,17.90,17.9,16.4,0,0,,0,0,0,0,,0,3,3,89,29.7,1,100.0,29.7,3,0,0,,0,WR,6-191
David Njoku,14.90,0,0,10,0,0,9,Thu,3,3,2022-09-22,26-074,CLE,,PIT,W 29-17,0,0,0,,0,0,0,,,,,0,0,,,,,,9,0,89,89,0,14.90,23.90,23.9,19.4,0,0,,0,0,0,0,,0,10,9,89,9.9,1,90.0,8.9,6,0,0,,0,TE,1-29
Kyler Murray,14.88,23,10,0,0,0,10,Sun,6,6,2022-10-16,25-070,ARI,@,SEA,L 9-19,23,37,14,62.2,222,0,1,,0.0,2.7,67.6,6,51,13.95,6.0,4.78,2.93,9.7,10,271,100,100,0,14.88,14.88,19.9,15.9,10,100,10.0,0,4,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Jared Goff,14.84,19,4,0,0,0,4,Sun,9,10,2022-11-13,28-030,DET,@,CHI,W 31-30,19,26,7,73.1,236,1,0,,3.8,0.0,113.6,2,8,7.14,9.1,9.85,8.86,12.4,4,242,14,14,0,14.84,14.84,14.8,14.8,4,14,3.5,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Dak Prescott,14.84,21,2,0,0,0,2,Thu,11,12,2022-11-24,29-118,DAL,,NYG,W 28-20,21,30,9,70.0,261,2,2,,6.7,6.7,91.1,0,0,0.00,8.7,7.03,7.03,12.4,2,265,4,8,0,14.84,14.84,16.8,16.8,2,4,2.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,4-135
Keenan Allen,14.80,0,0,14,0,0,6,Sun,12,13,2022-12-04,30-221,LAC,@,LVR,L 20-27,0,0,0,,0,0,0,,,,,0,0,,,,,,6,0,88,88,0,14.80,20.80,20.8,17.8,0,0,,0,0,0,0,,0,14,6,88,14.7,1,42.9,6.3,5,0,0,,0,WR,3-76
Marquise Brown,14.80,0,0,11,0,0,6,Sun,4,4,2022-10-02,25-120,ARI,@,CAR,W 26-16,0,0,0,,0,0,0,,,,,0,0,,,,,,6,0,88,88,0,14.80,20.80,20.8,17.8,0,0,,0,0,0,0,,0,11,6,88,14.7,1,54.5,8.0,5,0,0,,0,WR,1-25
Gabriel Davis,14.80,0,0,5,0,0,4,Thu,1,1,2022-09-08,23-160,BUF,@,LAR,W 31-10,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,88,88,0,14.80,18.80,18.8,16.8,0,0,,0,0,0,0,,0,5,4,88,22.0,1,80.0,17.6,3,0,0,,0,WR,4-128
AJ Dillon ,14.80,0,8,4,0,0,11,Sun,12,12,2022-11-27,24-209,GNB,@,PHI,L 33-40,0,0,0,,0,0,0,,,,,0,0,,,,,,11,64,88,88,0,14.80,17.80,17.8,16.3,8,64,8.0,1,3,0,0,,0,4,3,24,8.0,0,75.0,6.0,2,0,0,,0,RB,2-62
Tee Higgins,14.80,0,0,13,0,0,9,Sun,10,11,2022-11-20,23-306,CIN,@,PIT,W 37-30,0,0,0,,0,0,0,,,,,0,0,,,,,,9,0,148,148,0,14.80,23.80,26.8,19.3,0,0,,0,0,0,0,,0,13,9,148,16.4,0,69.2,11.4,8,0,0,,0,WR,2-33
Tua Tagovailoa,14.80,23,2,0,0,0,2,Sun,1,1,2022-09-11,24-193,MIA,,NWE,W 20-7,23,33,10,69.7,270,1,0,,3.0,0.0,104.4,3,28,8.33,8.2,8.79,7.28,11.7,2,242,0,0,0,14.80,14.80,14.8,14.8,2,0,0.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-5
Kenneth Walker III,14.80,0,8,0,0,0,8,Sun,5,5,2022-10-09,21-354,SEA,@,NOR,L 32-39,0,0,0,,0,0,0,,,,,0,0,,,,,,8,88,88,88,0,14.80,14.80,14.8,14.8,8,88,11.0,1,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,RB,2-41
Lamar Jackson,14.76,19,12,0,0,0,12,Sun,5,5,2022-10-09,25-275,BAL,,CIN,W 19-17,19,32,13,59.4,174,1,1,,3.1,3.1,71.6,1,4,3.03,5.4,4.66,4.39,9.2,12,228,58,58,0,14.76,14.76,15.8,15.8,12,58,4.8,0,5,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-32
Davis Mills,14.76,22,0,0,0,0,0,Sun,9,10,2022-11-13,24-023,HOU,@,NYG,L 16-24,22,37,15,59.5,319,1,1,,2.7,2.7,85.3,4,33,9.76,8.6,7.95,6.37,14.5,0,286,0,0,0,14.76,14.76,18.8,15.8,0,0,,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,3-67
Matthew Stafford,14.76,11,1,0,0,0,1,Sun,10,11,2022-11-20,34-286,LAR,@,NOR,L 20-27,11,18,7,61.1,159,2,0,,11.1,0.0,126.9,1,9,5.26,8.8,11.06,10.00,14.5,1,154,4,4,0,14.76,14.76,14.8,14.8,1,4,4.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Tom Brady,14.74,31,1,0,0,0,1,Sun,3,3,2022-09-25,45-053,TAM,,GNB,L 12-14,31,42,11,73.8,271,1,0,,2.4,0.0,98.4,3,20,6.67,6.5,6.93,6.02,8.7,1,250,-1,-1,0,14.74,14.74,14.7,14.7,1,-1,-1.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,6-199
Chase Edmonds,14.70,0,6,1,0,0,7,Sun,3,3,2022-09-25,26-165,MIA,,BUF,W 21-19,0,0,0,,0,0,0,,,,,0,0,,,,,,7,21,27,27,0,14.70,15.70,15.7,15.2,6,21,3.5,2,2,0,0,,0,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,RB,4-134
Damien Harris,14.70,0,15,2,0,0,17,Sun,2,2,2022-09-18,25-219,NWE,@,PIT,W 17-14,0,0,0,,0,0,0,,,,,0,0,,,,,,17,71,87,87,0,14.70,16.70,16.7,15.7,15,71,4.7,1,4,0,0,,0,2,2,16,8.0,0,100.0,8.0,1,0,0,,0,RB,3-87
Khalil Herbert,14.70,0,12,2,2,0,13,Mon,7,7,2022-10-24,24-186,CHI,@,NWE,W 33-14,0,0,0,,0,0,0,,,,,0,0,,,,,,13,62,87,136,49,14.70,15.70,15.7,15.2,12,62,5.2,0,2,2,49,24.5,0,2,1,25,25.0,1,50.0,12.5,1,0,0,,0,RB,6-217
DeAndre Hopkins,14.70,0,0,6,0,0,4,Sun,12,12,2022-11-27,30-174,ARI,,LAC,L 24-25,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,87,87,0,14.70,18.70,18.7,16.7,0,0,,0,0,0,0,,0,6,4,87,21.8,1,66.7,14.5,3,0,0,,0,WR,1-27
CeeDee Lamb,14.70,0,0,12,0,0,8,Mon,3,3,2022-09-26,23-171,DAL,@,NYG,W 23-16,0,0,0,,0,0,0,,,,,0,0,,,,,,8,0,87,87,0,14.70,22.70,22.7,18.7,0,0,,0,0,0,0,,0,12,8,87,10.9,1,66.7,7.3,6,0,0,,0,WR,1-17
Allen Lazard ,14.70,0,0,10,0,0,4,Sun,9,9,2022-11-06,26-330,GNB,@,DET,L 9-15,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,87,87,0,14.70,18.70,18.7,16.7,0,0,,0,0,0,0,,0,10,4,87,21.8,1,40.0,8.7,4,0,0,,0,WR,
Raheem Mostert,14.70,0,8,4,3,0,12,Sun,10,10,2022-11-13,30-218,MIA,,CLE,W 39-17,0,0,0,,0,0,0,,,,,0,0,,,,,,12,65,87,147,60,14.70,18.70,18.7,16.7,8,65,8.1,1,4,3,60,20.0,0,4,4,22,5.5,0,100.0,5.5,0,0,0,,0,RB,
Chris Olave,14.70,0,0,13,0,0,9,Sun,3,3,2022-09-25,22-090,NOR,@,CAR,L 14-22,0,0,0,,0,0,0,,,,,0,0,,,,,,9,0,147,147,0,14.70,23.70,26.7,19.2,0,0,,0,0,0,0,,0,13,9,147,16.3,0,69.2,11.3,5,0,0,,0,WR,1-11
Devin Singletary,14.70,0,13,2,0,0,14,Sun,9,10,2022-11-13,25-071,BUF,,MIN,L 30-33 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,14,47,47,47,0,14.70,15.70,16.7,15.2,13,47,3.6,2,3,0,0,,0,2,1,0,0.0,0,50.0,0.0,0,0,0,,0,RB,3-74
D'Andre Swift,14.70,0,5,5,0,0,7,Sun,2,2,2022-09-18,23-247,DET,,WAS,W 36-27,0,0,0,,0,0,0,,,,,0,0,,,,,,7,56,87,87,0,14.70,16.70,16.7,15.7,5,56,11.2,0,1,0,0,,0,5,2,31,15.5,1,40.0,6.2,1,0,0,,0,RB,2-35
Jameis Winston,14.62,25,2,0,0,0,2,Sun,3,3,2022-09-25,28-262,NOR,@,CAR,L 14-22,25,41,16,61.0,353,1,2,,2.4,4.9,76.6,1,11,2.38,8.6,6.90,6.48,14.1,2,347,5,3,0,14.62,14.62,19.6,16.6,2,5,2.5,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Michael Carter,14.60,0,12,1,0,0,13,Sun,9,9,2022-11-06,23-183,NYJ,,BUF,W 20-17,0,0,0,,0,0,0,,,,,0,0,,,,,,13,76,86,86,0,14.60,15.60,15.6,15.1,12,76,6.3,1,4,0,0,,0,1,1,10,10.0,0,100.0,10.0,1,0,0,,0,RB,4-107
Ja'Marr Chase,14.60,0,0,13,0,0,8,Sun,16,18,2023-01-08,22-313,CIN,,BAL,W 27-16,0,0,0,,0,0,0,,,,,0,0,,,,,,8,0,86,86,0,14.60,22.60,22.6,18.6,0,0,,0,0,0,0,,0,13,8,86,10.8,1,61.5,6.6,4,0,0,,0,WR,1-5
Ezekiel Elliott,14.60,0,13,1,0,0,14,Sun,6,6,2022-10-16,27-086,DAL,@,PHI,L 17-26,0,0,0,,0,0,0,,,,,0,0,,,,,,14,81,86,86,0,14.60,15.60,15.6,15.1,13,81,6.2,1,6,0,0,,0,1,1,5,5.0,0,100.0,5.0,1,0,0,,0,RB,1-4
Najee Harris,14.60,0,24,0,0,0,24,Sun,14,15,2022-12-18,24-284,PIT,@,CAR,W 24-16,0,0,0,,0,0,0,,,,,0,0,,,,,,24,86,86,86,0,14.60,14.60,14.6,14.6,24,86,3.6,1,5,0,0,,0,0,0,0,,0,,,0,0,0,,0,RB,1-24
Isiah Pacheco,14.60,0,22,1,0,0,23,Sun,11,12,2022-11-27,23-270,KAN,,LAR,W 26-10,0,0,0,,0,0,0,,,,,0,0,,,,,,23,69,86,86,0,14.60,15.60,15.6,15.1,22,69,3.1,1,2,0,0,,0,1,1,17,17.0,0,100.0,17.0,1,0,0,,0,RB,7-251
Alec Pierce,14.60,0,0,8,0,0,4,Sun,13,13,2022-12-04,22-216,IND,@,DAL,L 19-54,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,86,86,0,14.60,18.60,18.6,16.6,0,0,,0,0,0,0,,0,8,4,86,21.5,1,50.0,10.8,4,0,0,,0,WR,2-53
Tony Pollard,14.60,0,8,0,0,0,8,Sun,5,5,2022-10-09,25-162,DAL,@,LAR,W 22-10,0,0,0,,0,0,0,,,,,0,0,,,,,,8,86,86,86,0,14.60,14.60,14.6,14.6,8,86,10.8,1,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,RB,4-128
Brian Robinson Jr.,14.60,0,26,0,0,0,26,Mon,10,10,2022-11-14,23-237,WAS,@,PHI,W 32-21,0,0,0,,0,0,0,,,,,0,0,,,,,,26,86,86,86,0,14.60,14.60,14.6,14.6,26,86,3.3,1,6,0,0,,0,0,0,0,,0,,,0,0,0,,0,RB,3-98
Mike Williams,14.60,0,0,9,0,0,7,Sun,7,7,2022-10-23,28-019,LAC,,SEA,L 23-37,0,0,0,,0,0,0,,,,,0,0,,,,,,7,0,86,86,0,14.60,21.60,21.6,18.1,0,0,,0,0,0,0,,0,9,7,86,12.3,1,77.8,9.6,5,0,0,,0,WR,1-7
Zach Wilson,14.60,14,4,0,0,0,4,Sun,5,5,2022-10-09,23-067,NYJ,,MIA,W 40-17,14,21,7,66.7,210,0,0,,0.0,0.0,99.3,2,23,8.70,10.0,10.00,8.13,15.0,4,189,2,2,0,14.60,14.60,14.6,14.6,4,2,0.5,1,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-2
Daniel Jones,14.52,21,3,0,0,0,3,Thu,11,12,2022-11-24,25-181,NYG,@,DAL,L 20-28,21,35,14,60.0,228,1,0,,2.9,0.0,88.7,3,18,7.89,6.5,7.09,6.05,10.9,3,224,14,14,0,14.52,14.52,14.5,14.5,3,14,4.7,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-6
Tyler Allgeier,14.50,0,14,3,0,0,17,Sun,8,8,2022-10-30,22-198,ATL,,CAR,W 37-34 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,17,39,85,85,0,14.50,17.50,17.5,16.0,14,39,2.8,0,2,0,0,,0,3,3,46,15.3,1,100.0,15.3,2,0,0,,0,RB,5-151
A.J. Brown,14.50,0,0,10,0,0,5,Sun,3,3,2022-09-25,25-087,PHI,@,WAS,W 24-8,0,0,0,,0,0,0,,,,,0,0,,,,,,5,0,85,85,0,14.50,19.50,19.5,17.0,0,0,,0,0,0,0,,0,10,5,85,17.0,1,50.0,8.5,5,0,0,,0,WR,2-51
D'Onta Foreman,14.50,0,15,2,0,0,17,Sun,7,7,2022-10-23,26-182,CAR,,TAM,W 21-3,0,0,0,,0,0,0,,,,,0,0,,,,,,17,118,145,145,0,14.50,16.50,19.5,15.5,15,118,7.9,0,2,0,0,,0,2,2,27,13.5,0,100.0,13.5,1,0,0,,0,RB,3-89
Zay Jones,14.50,0,1,11,0,0,11,Sun,3,3,2022-09-25,27-179,JAX,@,LAC,W 38-10,0,0,0,,0,0,0,,,,,0,0,,,,,,11,0,85,85,0,14.50,24.50,24.5,19.5,1,0,0.0,0,0,0,0,,0,11,10,85,8.5,1,90.9,7.7,5,0,0,,0,WR,2-37
Joe Mixon,14.50,0,27,9,0,0,34,Sun,1,1,2022-09-11,26-049,CIN,,PIT,L 20-23 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,34,82,145,145,0,14.50,21.50,21.5,18.0,27,82,3.0,0,2,0,0,,0,9,7,63,9.0,0,77.8,7.0,3,0,0,,0,RB,2-48
Jaylen Waddle,14.50,0,0,7,0,0,5,Sun,9,9,2022-11-06,23-346,MIA,@,CHI,W 35-32,0,0,0,,0,0,0,,,,,0,0,,,,,,5,0,85,85,0,14.50,19.50,19.5,17.0,0,0,,0,0,0,0,,0,7,5,85,17.0,1,71.4,12.1,4,0,0,,0,WR,1-6
Sam Ehlinger,14.46,23,5,0,0,0,5,Sun,17,18,2023-01-08,24-100,IND,,HOU,L 31-32,23,35,12,65.7,209,2,2,1,5.7,5.7,77.0,2,7,5.41,6.0,4.54,4.11,9.1,5,223,21,19,0,14.46,14.46,16.5,16.5,5,21,4.2,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,6-218
Taylor Heinicke,14.44,20,2,0,0,0,2,Sun,7,7,2022-10-23,29-222,WAS,,GNB,W 23-21,20,33,13,60.6,201,2,1,1,6.1,3.0,85.5,1,3,2.94,6.1,5.94,5.68,10.1,2,202,4,4,0,14.44,14.44,15.4,15.4,2,4,2.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,
Justin Herbert,14.42,22,5,0,0,0,5,Sun,5,5,2022-10-09,24-213,LAC,@,CLE,W 30-28,22,34,12,64.7,228,1,0,,2.9,0.0,93.7,1,1,2.86,6.7,7.29,7.06,10.4,5,240,13,13,0,14.42,14.42,14.4,14.4,5,13,2.6,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-6
Jacoby Brissett,14.40,21,3,0,0,0,3,Sun,5,5,2022-10-09,29-302,CLE,,LAC,L 28-30,21,34,13,61.8,230,1,1,,2.9,2.9,79.3,0,0,0.00,6.8,6.03,6.03,11.0,3,262,32,32,0,14.40,14.40,15.4,15.4,3,32,10.7,0,2,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,3-91
Damien Harris,14.40,0,18,1,0,0,19,Sun,4,4,2022-10-02,25-233,NWE,@,GNB,L 24-27 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,19,86,84,84,0,14.40,15.40,15.4,14.9,18,86,4.8,1,4,0,0,,0,1,1,-2,-2.0,0,100.0,-2.0,0,0,0,,0,RB,3-87
Cordarrelle Patterson,14.40,0,9,8,0,0,15,Sun,16,17,2023-01-01,31-290,ATL,,ARI,W 20-19,0,0,0,,0,0,0,,,,,0,0,,,,,,15,42,84,84,0,14.40,20.40,20.4,17.4,9,42,4.7,1,3,0,0,,0,8,6,42,7.0,0,75.0,5.3,2,0,0,,0,RB,1-29
Dante Pettis,14.40,0,0,7,0,0,4,Thu,6,6,2022-10-13,26-355,CHI,,WAS,L 7-12,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,84,84,0,14.40,18.40,18.4,16.4,0,0,,0,0,0,0,,0,7,4,84,21.0,1,57.1,12.0,3,0,0,,0,WR,2-44
Dak Prescott,14.38,29,3,0,0,0,3,Thu,16,17,2022-12-29,29-153,DAL,@,TEN,W 27-13,29,41,12,70.7,282,2,2,,4.9,4.9,85.6,1,8,2.38,6.9,5.66,5.33,9.7,3,285,11,10,0,14.38,14.38,17.4,16.4,3,11,3.7,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,4-135
Ryan Tannehill,14.38,17,5,0,0,0,5,Sun,4,4,2022-10-02,34-067,TEN,@,IND,W 24-17,17,21,4,81.0,137,2,0,,9.5,0.0,125.6,3,21,12.50,6.5,8.43,6.50,8.1,5,125,9,9,0,14.38,14.38,14.4,14.4,5,9,1.8,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-8
Joe Flacco,14.36,37,1,0,0,0,1,Sun,1,1,2022-09-11,37-238,NYJ,,BAL,L 9-24,37,59,22,62.7,309,1,1,,1.7,1.7,74.8,3,12,4.84,5.2,4.81,4.39,8.4,1,297,0,0,0,14.36,14.36,18.4,15.4,1,0,0.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-18
Nick Chubb,14.30,0,22,1,0,0,23,Sun,1,1,2022-09-11,26-258,CLE,@,CAR,W 26-24,0,0,0,,0,0,0,,,,,0,0,,,,,,23,141,143,143,0,14.30,15.30,18.3,14.8,22,141,6.4,0,6,0,0,,0,1,1,2,2.0,0,100.0,2.0,0,0,0,,0,RB,2-35
Dalvin Cook,14.30,0,13,1,0,0,14,Sun,6,6,2022-10-16,27-067,MIN,@,MIA,W 24-16,0,0,0,,0,0,0,,,,,0,0,,,,,,14,77,83,83,0,14.30,15.30,15.3,14.8,13,77,5.9,1,1,0,0,,0,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,RB,2-41
Dalvin Cook,14.30,0,20,3,0,0,22,Sun,12,13,2022-12-04,27-116,MIN,,NYJ,W 27-22,0,0,0,,0,0,0,,,,,0,0,,,,,,22,86,83,83,0,14.30,16.30,16.3,15.3,20,86,4.3,1,4,0,0,,0,3,2,-3,-1.5,0,66.7,-1.0,0,0,0,,0,RB,2-41
Corey Davis,14.30,0,0,4,0,0,2,Sun,2,2,2022-09-18,27-250,NYJ,@,CLE,W 31-30,0,0,0,,0,0,0,,,,,0,0,,,,,,2,0,83,83,0,14.30,16.30,16.3,15.3,0,0,,0,0,0,0,,0,4,2,83,41.5,1,50.0,20.8,2,0,0,,0,WR,1-5
Austin Ekeler,14.30,0,14,16,0,0,24,Mon,6,6,2022-10-17,27-153,LAC,,DEN,W 19-16 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,24,36,83,83,0,14.30,24.30,24.3,19.3,14,36,2.6,1,4,0,0,,0,16,10,47,4.7,0,62.5,2.9,2,0,0,,0,RB,
Michael Gallup,14.30,0,0,7,0,0,4,Sun,12,13,2022-12-04,26-275,DAL,,IND,W 54-19,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,23,23,0,14.30,18.30,18.3,16.3,0,0,,0,0,0,0,,0,7,4,23,5.8,2,57.1,3.3,2,0,0,,0,WR,3-81
Chris Godwin,14.30,0,0,8,0,0,8,Sun,14,15,2022-12-18,26-294,TAM,,CIN,L 23-34,0,0,0,,0,0,0,,,,,0,0,,,,,,8,0,83,83,0,14.30,22.30,22.3,18.3,0,0,,0,0,0,0,,0,8,8,83,10.4,1,100.0,10.4,4,0,0,,0,WR,3-84
Taysom Hill,14.30,0,4,1,0,0,5,Sun,1,1,2022-09-11,32-019,NOR,@,ATL,W 27-26,0,0,0,,0,0,0,,,,,0,0,,,,,,5,81,83,83,0,14.30,15.30,15.3,14.8,4,81,20.3,1,2,0,0,,0,1,1,2,2.0,0,100.0,2.0,0,0,0,,0,TE,
Jakobi Meyers,14.30,0,0,7,0,0,6,Sat,15,16,2022-12-24,26-045,NWE,,CIN,L 18-22,0,0,0,,0,0,0,,,,,0,0,,,,,,6,0,83,83,0,14.30,20.30,20.3,17.3,0,0,,0,0,0,0,,0,7,6,83,13.8,1,85.7,11.9,3,0,0,,0,WR,
George Pickens,14.30,0,0,6,0,0,4,Sun,10,11,2022-11-20,21-261,PIT,,CIN,L 30-37,0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,83,83,0,14.30,18.30,18.3,16.3,0,0,,0,0,0,0,,0,6,4,83,20.8,1,66.7,13.8,3,0,0,,0,WR,2-52
Brock Purdy,14.30,25,4,0,0,0,4,Sun,12,13,2022-12-04,22-342,SFO,,MIA,W 33-17,25,37,12,67.6,210,2,1,,5.4,2.7,88.8,3,26,7.50,5.7,5.54,4.48,8.4,4,183,-1,-1,0,14.30,14.30,15.3,15.3,4,-1,-0.3,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,7-262
Rhamondre Stevenson,14.30,0,16,7,0,0,23,Sun,8,8,2022-10-30,24-249,NWE,@,NYJ,W 22-17,0,0,0,,0,0,0,,,,,0,0,,,,,,23,71,143,143,0,14.30,21.30,21.3,17.8,16,71,4.4,0,3,0,0,,0,7,7,72,10.3,0,100.0,10.3,2,0,0,,0,RB,4-120
