Team,Date,Pts,TD,TD2,KRTD,Blck,Over/Under,TD3,TO,Day,G#,Week,,Opp,Result,Opp. RushingAtt,Opp. RushingYds,Opp. RushingY/A,Opp. RushingTD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingCmp%,Opp. PassingYds,Opp. PassingTD,Opp. PassingSk,Opp. PassingYds4,Opp. PassingInt,Opp. PassingRate,Pts5,PtsO,PtDif,PC,PuntingPnt,PuntingYds,PuntingY/P,PuntingBlck,KRTD6,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,TD7,KickingXPA,KickingXPM,KickingAtt,KickingMd,Sfty,Tot. Off.Tot,Tot. Off.Ply,Tot. Off.Y/P,Tot. Off.DPly,Tot. Off.DY/P,Tot. Off.TO,Tot. Off.ToP,Tot. Off.Time,VegasSpread,Vegasvs. Line,VegasOver/Under,VegasOU Result
MIA,2022-11-27,30,1,1,0,0,47.0,2,1,Sun,11,12,,HOU,W 30-15,14,36,2.6,1,26,39,66.7,174,1,5,41,2,63.4,30,15,15,45,6,296,49.3,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,339,72,4.71,58,3.62,1,32:27,3:03,-14.0,covered,47.0,under
CHI,2022-11-27,10,3,1,0,0,38.5,4,1,Sun,12,12,@,NYJ,L 10-31,32,158,4.9,1,22,29,75.9,308,3,1,7,0,144.0,10,31,-21,41,5,244,48.8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,1,0,292,56,5.21,62,7.52,1,27:55,2:48,7.0,did not cover,38.5,over
NYJ,2022-11-27,31,1,0,0,0,38.5,1,0,Sun,11,12,,CHI,W 31-10,29,127,4.4,0,14,25,56.0,165,1,2,14,1,72.9,31,10,21,41,2,118,59.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,466,62,7.52,56,5.21,0,32:05,2:48,-7.0,covered,38.5,over
CIN,2022-11-27,20,0,0,0,0,43.0,1,0,Sun,11,12,@,TEN,W 20-16,21,63,3.0,0,22,34,64.7,281,0,1,10,0,90.4,20,16,4,36,5,259,51.8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,0,374,66,5.67,56,6.14,0,31:46,2:58,-1.5,covered,43.0,under
TEN,2022-11-27,16,1,1,0,0,43.0,2,0,Sun,11,12,,CIN,L 16-20,28,108,3.9,1,22,37,59.5,266,1,1,4,0,90.6,16,20,-4,36,5,269,53.8,0,0,0,0,1,0,1,0,0,0,0,2,2,2,2,2,0,344,56,6.14,66,5.67,0,28:14,2:58,1.5,did not cover,43.0,under
GNB,2022-11-27,33,2,3,0,0,46.0,5,2,Sun,12,12,@,PHI,L 33-40,49,363,7.4,3,16,28,57.1,137,2,2,16,0,93.9,33,40,-7,73,2,83,41.5,0,0,0,0,0,0,0,0,0,0,0,5,5,4,2,2,0,342,49,6.98,79,6.33,2,24:26,3:09,6.5,did not cover,46.0,over
PHI,2022-11-27,40,3,1,0,0,46.0,4,1,Sun,11,12,,GNB,W 40-33,21,106,5.0,1,17,25,68.0,236,3,3,17,2,104.3,40,33,7,73,1,52,52.0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,2,0,500,79,6.33,49,6.98,1,35:34,3:09,-6.5,covered,46.0,over
LVR,2022-11-27,40,2,2,0,0,47.5,4,2,Sun,11,12,@,SEA,W 40-34 (OT),23,65,2.8,2,27,37,73.0,307,2,3,21,1,104.2,40,34,6,74,2,91,45.5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,2,0,576,77,7.48,63,5.90,2,37:35,3:30,4.0,covered,47.5,over
SEA,2022-11-27,34,3,2,0,0,47.5,5,2,Sun,11,12,,LVR,L 34-40 (OT),40,283,7.1,2,25,36,69.4,293,3,1,2,2,98.5,34,40,-6,74,4,191,47.8,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,2,0,372,63,5.90,77,7.48,2,28:05,3:30,-4.0,did not cover,47.5,over
NOR,2022-11-27,0,1,0,0,0,43.0,1,2,Sun,12,12,@,SFO,L 0-13,29,96,3.3,0,26,37,70.3,221,1,1,1,0,94.5,0,13,-13,13,4,183,45.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,260,53,4.91,67,4.73,2,25:10,2:58,9.0,did not cover,43.0,under
SFO,2022-11-27,13,0,0,0,0,43.0,0,0,Sun,11,12,,NOR,W 13-0,22,63,2.9,0,18,30,60.0,197,0,1,7,0,79.4,13,0,13,13,4,175,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,317,67,4.73,53,4.91,0,34:50,2:58,-9.0,covered,43.0,under
ATL,2022-11-27,13,2,0,0,0,40.5,2,1,Sun,12,12,@,WAS,L 13-19,37,176,4.8,0,14,23,60.9,138,2,0,0,1,88.7,13,19,-6,32,3,122,40.7,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,0,332,55,6.04,60,5.23,1,26:51,2:47,4.0,did not cover,40.5,under
WAS,2022-11-27,19,1,0,0,0,40.5,1,1,Sun,12,12,,ATL,W 19-13,29,167,5.8,0,15,25,60.0,165,1,1,9,1,76.2,19,13,6,32,3,127,42.3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0,314,60,5.23,55,6.04,1,33:09,2:47,-4.0,covered,40.5,under
IND,2022-11-28,17,0,2,0,0,39.5,2,2,Mon,12,12,,PIT,L 17-24,36,172,4.8,2,20,28,71.4,151,0,3,23,0,84.1,17,24,-7,41,3,150,50.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,0,290,62,4.68,67,4.82,2,25:38,2:58,-2.5,did not cover,39.5,over
PIT,2022-11-28,24,1,1,0,0,39.5,2,0,Mon,11,12,@,IND,W 24-17,25,110,4.4,1,22,34,64.7,180,1,3,19,1,75.6,24,17,7,41,4,182,45.5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,323,67,4.82,62,4.68,0,34:22,2:58,2.5,covered,39.5,over
BUF,2022-12-01,24,1,0,0,0,43.5,1,1,Thu,12,13,@,NWE,W 24-10,14,60,4.3,0,22,36,61.1,182,1,1,13,0,83.3,24,10,14,34,3,136,45.3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,355,72,4.93,51,4.75,1,38:08,2:55,-3.5,covered,43.5,under
NWE,2022-12-01,10,2,1,0,0,43.5,3,0,Thu,12,13,,BUF,L 10-24,37,132,3.6,1,22,33,66.7,223,2,2,0,0,106.0,10,24,-14,34,6,251,41.8,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,242,51,4.75,72,4.93,0,21:52,2:55,3.5,did not cover,43.5,under
ATL,2022-12-04,16,1,0,0,0,43.0,1,1,Sun,13,13,,PIT,L 16-19,37,154,4.2,0,16,28,57.1,197,1,0,0,0,90.9,16,19,-3,35,3,137,45.7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,0,306,53,5.77,65,5.40,1,27:05,2:52,-1.0,did not cover,43.0,under
PIT,2022-12-04,19,1,0,0,0,43.0,1,0,Sun,12,13,@,ATL,W 19-16,28,146,5.2,0,13,24,54.2,160,1,1,7,1,71.5,19,16,3,35,2,85,42.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,351,65,5.40,53,5.77,0,32:55,2:52,1.0,covered,43.0,under
CHI,2022-12-04,19,1,2,0,0,45.0,3,3,Sun,13,13,,GNB,L 19-28,32,175,5.5,2,18,31,58.1,182,1,0,0,0,85.7,19,28,-9,47,1,39,39.0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,0,409,50,8.18,63,5.67,3,27:32,2:55,4.5,did not cover,45.0,over
GNB,2022-12-04,28,0,2,0,0,45.0,2,0,Sun,13,13,@,CHI,W 28-19,25,155,6.2,2,20,25,80.0,254,0,0,0,2,75.7,28,19,9,47,3,134,44.7,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,0,357,63,5.67,50,8.18,0,32:28,2:55,-4.5,covered,45.0,over
CIN,2022-12-04,27,1,2,0,0,53.0,3,0,Sun,12,13,,KAN,W 27-24,25,138,5.5,2,16,27,59.3,211,1,2,12,0,96.4,27,24,3,51,1,40,40.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,0,431,66,6.53,54,6.46,0,32:06,2:56,2.5,covered,53.0,under
KAN,2022-12-04,24,2,1,0,0,53.0,3,1,Sun,12,13,@,CIN,L 24-27,34,152,4.5,1,25,31,80.6,279,2,1,7,0,125.7,24,27,-3,51,1,55,55.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,349,54,6.46,66,6.53,1,27:54,2:56,-2.5,did not cover,53.0,under
IND,2022-12-04,19,3,4,0,0,44.5,8,5,Sun,13,13,@,DAL,L 19-54,34,220,6.5,4,20,30,66.7,165,3,1,5,1,100.0,19,54,-35,73,3,119,39.7,0,0,0,0,0,0,0,0,0,0,1,8,7,6,0,0,0,309,70,4.41,65,5.92,5,31:19,3:07,10.5,did not cover,44.5,over
DAL,2022-12-04,54,2,0,0,0,44.5,2,1,Sun,12,13,,IND,W 54-19,30,106,3.5,0,21,37,56.8,203,2,3,30,3,56.5,54,19,35,73,4,198,49.5,0,0,0,0,1,0,1,0,0,0,0,2,1,1,2,2,0,385,65,5.92,70,4.41,1,28:41,3:07,-10.5,covered,44.5,over
DET,2022-12-04,40,1,0,0,0,51.0,1,0,Sun,12,13,,JAX,W 40-14,19,95,5.0,0,19,34,55.9,171,1,2,14,0,79.4,40,14,26,54,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,437,74,5.91,55,4.84,0,36:50,2:54,-1.0,covered,51.0,over
JAX,2022-12-04,14,2,2,0,0,51.0,4,1,Sun,12,13,@,DET,L 14-40,31,100,3.2,2,31,41,75.6,337,2,2,3,0,115.6,14,40,-26,54,3,137,45.7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,266,55,4.84,74,5.91,1,23:10,2:54,1.0,did not cover,51.0,over
CLE,2022-12-04,27,1,0,0,0,46.5,1,2,Sun,12,13,@,HOU,W 27-14,22,82,3.7,0,20,39,51.3,201,1,0,0,2,53.5,27,14,13,41,6,311,51.8,0,0,1,1,1,0,3,0,0,0,0,1,0,0,2,2,1,304,61,4.98,61,4.64,2,32:16,3:11,-8.0,covered,46.5,under
HOU,2022-12-04,14,0,0,0,0,46.5,3,4,Sun,12,13,,CLE,L 14-27,38,174,4.6,0,12,22,54.5,130,0,1,1,1,53.2,14,27,-13,41,7,354,50.6,0,0,0,0,0,0,0,0,1,1,1,3,3,3,2,2,0,283,61,4.64,61,4.98,4,27:44,3:11,8.0,did not cover,46.5,under
MIN,2022-12-04,27,0,1,0,0,44.5,1,0,Sun,12,13,,NYJ,W 27-22,24,120,5.0,1,31,58,53.4,366,0,1,3,2,58.5,27,22,5,49,6,292,48.7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,0,287,66,4.35,83,5.86,0,28:22,3:17,-3.0,covered,44.5,over
NYJ,2022-12-04,22,1,2,0,0,44.5,3,2,Sun,12,13,@,MIN,L 22-27,29,128,4.4,2,21,35,60.0,159,1,2,14,0,80.5,22,27,-5,49,2,81,40.5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,486,83,5.86,66,4.35,2,31:38,3:17,3.0,did not cover,44.5,over
NYG,2022-12-04,20,2,0,0,0,40.5,2,1,Sun,12,13,,WAS,T 20-20 (OT),36,165,4.6,0,27,41,65.9,246,2,5,29,0,98.2,20,20,0,40,7,324,46.3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0,316,65,4.86,82,5.01,1,28:49,3:22,2.0,covered,40.5,under
WAS,2022-12-04,20,1,1,0,0,40.5,2,1,Sun,13,13,@,NYG,T 20-20 (OT),30,134,4.5,1,25,31,80.6,182,1,4,18,0,101.9,20,20,0,40,6,265,44.2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0,411,82,5.01,65,4.86,1,41:11,3:22,-2.0,did not cover,40.5,under
TEN,2022-12-04,10,3,2,0,0,44.0,5,0,Sun,12,13,@,PHI,L 10-35,24,67,2.8,2,30,41,73.2,386,3,2,5,0,126.7,10,35,-25,45,7,401,57.3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,209,53,3.94,67,6.76,0,27:27,3:09,4.0,did not cover,44.0,over
PHI,2022-12-04,35,1,0,0,0,44.0,1,0,Sun,12,13,,TEN,W 35-10,21,87,4.1,0,16,26,61.5,122,1,6,35,0,85.7,35,10,25,45,5,215,43.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,453,67,6.76,53,3.94,0,32:33,3:09,-4.0,covered,44.0,over
LVR,2022-12-04,27,1,0,0,0,49.5,2,2,Sun,12,13,,LAC,W 27-20,22,72,3.3,0,28,47,59.6,314,1,5,21,0,86.7,27,20,7,47,4,181,45.3,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,2,0,404,59,6.85,74,5.22,2,29:16,3:07,-2.5,covered,49.5,under
LAC,2022-12-04,20,2,1,0,0,49.5,3,1,Sun,12,13,@,LVR,L 20-27,29,154,5.3,1,16,30,53.3,250,2,0,0,1,89.6,20,27,-7,47,3,137,45.7,0,0,0,1,0,0,1,0,0,0,0,3,3,3,3,2,0,386,74,5.22,59,6.85,1,30:44,3:07,2.5,did not cover,49.5,under
LAR,2022-12-04,23,3,0,0,0,41.0,3,2,Sun,12,13,,SEA,L 23-27,22,90,4.1,0,28,39,71.8,348,3,4,19,1,114.0,23,27,-4,50,3,164,54.7,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,319,63,5.06,65,6.74,2,29:07,3:03,7.0,covered,41.0,over
SEA,2022-12-04,27,0,2,0,0,41.0,2,2,Sun,12,13,@,LAR,W 27-23,33,171,5.2,2,14,26,53.8,148,0,4,30,2,38.6,27,23,4,50,2,114,57.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,0,438,65,6.74,63,5.06,2,30:53,3:03,-7.0,did not cover,41.0,over
DEN,2022-12-04,9,0,1,0,0,39.5,1,0,Sun,12,13,@,BAL,L 9-10,28,103,3.7,1,30,37,81.1,182,0,4,16,2,64.6,9,10,-1,19,7,288,41.1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,272,52,5.23,69,4.13,0,27:31,2:56,9.5,covered,39.5,under
BAL,2022-12-04,10,0,0,0,0,39.5,0,2,Sun,12,13,,DEN,W 10-9,28,88,3.1,0,17,22,77.3,184,0,2,5,0,101.3,10,9,1,19,6,303,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,285,69,4.13,52,5.23,2,32:29,2:56,-9.5,did not cover,39.5,under
MIA,2022-12-04,17,2,0,0,0,45.5,3,4,Sun,12,13,@,SFO,L 17-33,34,121,3.6,0,27,41,65.9,230,2,4,36,1,86.4,17,33,-16,50,4,206,51.5,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4,0,308,45,6.84,79,4.44,4,19:26,3:14,4.5,did not cover,45.5,over
SFO,2022-12-04,33,2,0,0,0,45.5,2,1,Sun,12,13,,MIA,W 33-17,8,33,4.1,0,18,34,52.9,275,2,3,20,3,62.7,33,17,16,50,4,178,44.5,0,0,0,0,1,0,1,0,0,0,0,2,2,2,1,1,0,351,79,4.44,45,6.84,1,40:34,3:14,-4.5,covered,45.5,over
NOR,2022-12-05,16,2,0,0,0,41.0,2,0,Mon,13,13,@,TAM,L 16-17,20,76,3.8,0,36,54,66.7,274,2,1,7,1,83.4,16,17,-1,33,6,262,43.7,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,298,56,5.32,75,4.67,0,29:55,2:57,3.0,covered,41.0,under
TAM,2022-12-05,17,1,0,0,0,41.0,1,2,Mon,12,13,,NOR,W 17-16,25,66,2.6,0,21,29,72.4,232,1,2,18,0,107.3,17,16,1,33,5,247,49.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,350,75,4.67,56,5.32,2,30:05,2:57,-3.0,did not cover,41.0,under
LVR,2022-12-08,16,1,1,0,0,44.5,2,2,Thu,13,14,@,LAR,L 16-17,22,71,3.2,1,22,35,62.9,211,1,4,19,0,89.1,16,17,-1,33,3,148,49.3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,302,58,5.21,61,4.62,2,30:21,3:03,-6.0,did not cover,44.5,under
LAR,2022-12-08,17,0,1,0,0,44.5,1,1,Thu,13,14,,LVR,W 17-16,38,165,4.3,1,11,20,55.0,137,0,0,0,2,36.9,17,16,1,33,3,156,52.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,282,61,4.62,58,5.21,1,29:39,3:03,6.0,covered,44.5,under
BUF,2022-12-11,20,0,1,0,1,43.0,1,0,Sun,13,14,,NYJ,W 20-12,22,76,3.5,1,28,47,59.6,233,0,4,36,0,72.4,20,12,8,32,8,347,43.4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,232,54,4.30,73,4.23,0,25:35,3:06,-10.0,did not cover,43.0,under
NYJ,2022-12-11,12,1,1,0,0,43.0,2,2,Sun,13,14,@,BUF,L 12-20,24,102,4.3,1,16,27,59.3,130,1,3,17,0,83.9,12,20,-8,32,7,311,44.4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,309,73,4.23,54,4.30,2,34:25,3:06,10.0,covered,43.0,under
CIN,2022-12-11,23,1,0,0,0,46.5,1,1,Sun,13,14,,CLE,W 23-10,25,71,2.8,0,26,43,60.5,273,1,2,3,1,77.0,23,10,13,33,5,205,41.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,363,61,5.95,70,4.91,1,28:08,3:06,-5.5,covered,46.5,under
CLE,2022-12-11,10,2,1,0,0,46.5,3,1,Sun,13,14,@,CIN,L 10-23,26,136,5.2,1,18,33,54.5,227,2,2,12,1,83.8,10,23,-13,33,4,220,55.0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,0,344,70,4.91,61,5.95,1,31:52,3:06,5.5,did not cover,46.5,under
DAL,2022-12-11,27,1,1,0,0,44.0,2,3,Sun,13,14,,HOU,W 27-23,37,114,3.1,1,20,27,74.1,213,1,0,0,1,93.6,27,23,4,50,3,157,52.3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,0,404,71,5.69,64,5.11,3,26:46,3:06,-17.0,did not cover,44.0,over
HOU,2022-12-11,23,1,2,0,0,44.0,3,2,Sun,13,14,@,DAL,L 23-27,31,127,4.1,2,24,39,61.5,277,1,1,7,2,70.1,23,27,-4,50,4,197,49.3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,327,64,5.11,71,5.69,2,33:14,3:06,17.0,covered,44.0,over
DEN,2022-12-11,28,3,0,0,0,44.0,4,2,Sun,13,14,,KAN,L 28-34,23,89,3.9,0,28,42,66.7,342,3,2,10,3,85.6,28,34,-6,62,7,333,47.6,0,0,0,0,0,0,0,0,0,1,0,4,4,4,2,2,0,320,69,4.64,67,6.43,2,29:47,3:11,8.5,covered,44.0,over
KAN,2022-12-11,34,4,0,0,0,44.0,4,3,Sun,13,14,@,DEN,W 34-28,19,106,5.6,0,27,44,61.4,214,4,6,49,2,84.8,34,28,6,62,3,199,66.3,0,0,0,1,0,0,1,0,0,0,0,4,4,4,0,0,0,431,67,6.43,69,4.64,3,30:13,3:11,-8.5,did not cover,44.0,over
DET,2022-12-11,34,2,1,0,0,51.5,3,0,Sun,13,14,,MIN,W 34-23,17,22,1.3,1,31,41,75.6,394,2,4,31,0,121.4,34,23,11,57,2,96,48.0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,464,69,6.72,62,6.71,0,31:54,3:13,-2.0,covered,51.5,over
MIN,2022-12-11,23,3,1,0,0,51.5,4,2,Sun,13,14,@,DET,L 23-34,30,134,4.5,1,27,39,69.2,330,3,0,0,0,120.7,23,34,-11,57,3,159,53.0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,0,416,62,6.71,69,6.72,2,28:06,3:13,2.0,did not cover,51.5,over
NYG,2022-12-11,22,2,4,0,0,45.0,6,1,Sun,13,14,,PHI,L 22-48,31,253,8.2,4,21,31,67.7,184,2,4,33,0,104.8,22,48,-26,70,5,241,48.2,0,0,0,0,0,0,0,0,0,0,0,6,6,6,2,2,0,304,63,4.83,66,6.62,1,27:30,3:00,7.0,did not cover,45.0,over
PHI,2022-12-11,48,2,1,0,1,45.0,3,0,Sun,13,14,@,NYG,W 48-22,24,123,5.1,1,23,32,71.9,181,2,7,35,0,106.4,48,22,26,70,2,35,17.5,1,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,437,66,6.62,63,4.83,0,32:30,3:00,-7.0,covered,45.0,over
JAX,2022-12-11,36,2,1,0,0,41.0,3,0,Sun,13,14,@,TEN,W 36-22,20,137,6.9,1,25,38,65.8,227,2,4,27,1,88.4,36,22,14,58,3,133,44.3,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,428,67,6.39,62,5.87,0,32:52,3:13,3.5,covered,41.0,over
TEN,2022-12-11,22,3,1,0,0,41.0,4,4,Sun,13,14,,JAX,L 22-36,25,60,2.4,1,30,42,71.4,368,3,0,0,0,121.9,22,36,-14,58,3,150,50.0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,0,364,62,5.87,67,6.39,4,27:08,3:13,-3.5,did not cover,41.0,over
PIT,2022-12-11,14,0,1,0,0,36.5,1,3,Sun,13,14,,BAL,L 14-16,42,215,5.1,1,11,17,64.7,94,0,2,10,0,79.0,14,16,-2,30,3,111,37.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,329,53,6.21,61,5.07,3,27:01,2:46,-1.5,did not cover,36.5,under
BAL,2022-12-11,16,1,1,0,0,36.5,2,0,Sun,13,14,@,PIT,W 16-14,20,65,3.3,1,22,31,71.0,264,1,2,12,3,67.9,16,14,2,30,3,124,41.3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,309,61,5.07,53,6.21,0,32:59,2:46,1.5,covered,36.5,under
MIA,2022-12-11,17,1,1,0,0,53.5,2,0,Sun,13,14,@,LAC,L 17-23,23,82,3.6,1,39,51,76.5,350,1,4,17,0,100.9,17,23,-6,40,7,327,46.7,0,0,0,0,1,0,1,0,0,0,0,2,2,2,3,3,0,219,49,4.47,78,5.54,0,20:22,3:06,-3.0,did not cover,53.5,under
LAC,2022-12-11,23,1,0,0,0,53.5,2,0,Sun,13,14,,MIA,W 23-17,19,92,4.8,0,10,28,35.7,127,1,2,18,0,62.6,23,17,6,40,4,176,44.0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,432,78,5.54,49,4.47,0,39:38,3:06,3.0,covered,53.5,under
CAR,2022-12-11,30,3,0,0,0,44.5,3,0,Sun,13,14,@,SEA,W 30-24,14,46,3.3,0,21,36,58.3,241,3,3,23,2,83.2,30,24,6,54,2,107,53.5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,328,72,4.56,53,5.42,0,39:16,3:02,4.0,covered,44.5,over
SEA,2022-12-11,24,1,2,0,0,44.5,3,2,Sun,13,14,,CAR,L 24-30,46,223,4.8,2,14,24,58.3,105,1,2,15,0,82.8,24,30,-6,54,4,177,44.3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,287,53,5.42,72,4.56,2,20:44,3:02,-4.0,did not cover,44.5,over
SFO,2022-12-11,35,1,0,0,0,37.5,1,1,Sun,13,14,,TAM,W 35-7,19,69,3.6,0,34,55,61.8,253,1,0,0,2,63.7,35,7,28,42,3,134,44.7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,404,59,6.85,74,4.35,1,32:40,3:08,-3.5,covered,37.5,over
TAM,2022-12-11,7,2,3,0,0,37.5,5,3,Sun,13,14,@,SFO,L 7-35,36,209,5.8,3,17,23,73.9,195,2,0,0,0,128.0,7,35,-28,42,3,157,52.3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,322,74,4.35,59,6.85,3,27:20,3:08,3.5,did not cover,37.5,over
ARI,2022-12-12,13,0,2,0,0,43.5,3,2,Mon,13,14,,NWE,L 13-27,21,103,4.9,2,24,35,68.6,225,0,1,10,1,74.1,13,27,-14,40,2,97,48.5,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,2,0,323,69,4.68,57,5.75,2,33:31,3:14,1.5,did not cover,43.5,under
NWE,2022-12-12,27,0,1,0,0,43.5,1,1,Mon,13,14,@,ARI,W 27-13,22,113,5.1,1,28,41,68.3,210,0,6,45,1,70.2,27,13,14,40,6,253,42.2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,3,2,0,328,57,5.75,69,4.68,1,26:29,3:14,-1.5,covered,43.5,under
SEA,2022-12-15,13,2,1,0,0,43.0,3,1,Thu,14,15,,SFO,L 13-21,34,170,5.0,1,17,26,65.4,211,2,1,6,0,116.0,13,21,-8,34,7,349,49.9,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,277,61,4.54,61,6.25,1,26:59,3:01,3.0,did not cover,43.0,under
SFO,2022-12-15,21,1,0,0,0,43.0,1,0,Thu,14,15,@,SEA,W 21-13,14,70,5.0,0,31,44,70.5,207,1,3,31,0,88.0,21,13,8,34,6,253,42.2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,381,61,6.25,61,4.54,0,33:01,3:01,-3.0,covered,43.0,under
BUF,2022-12-17,32,2,1,0,0,43.5,3,1,Sat,14,15,,MIA,W 32-29,25,188,7.5,1,17,30,56.7,217,2,2,17,0,101.7,32,29,3,61,5,215,43.0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,0,446,71,6.28,57,7.11,1,29:53,3:27,-7.0,did not cover,43.5,over
MIA,2022-12-17,29,4,0,0,0,43.5,4,0,Sat,14,15,@,BUF,L 29-32,29,150,5.2,0,25,40,62.5,296,4,2,8,0,118.3,29,32,-3,61,4,167,41.8,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,1,0,405,57,7.11,71,6.28,0,30:07,3:27,7.0,covered,43.5,over
CLE,2022-12-17,13,0,0,0,0,38.0,0,0,Sat,14,15,,BAL,W 13-3,28,198,7.1,0,17,30,56.7,126,0,3,12,1,52.9,13,3,10,16,3,155,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,283,64,4.42,61,5.31,0,33:08,2:43,-3.0,covered,38.0,under
BAL,2022-12-17,3,1,0,0,0,38.0,1,2,Sat,14,15,@,CLE,L 3-13,33,143,4.3,0,18,28,64.3,140,1,3,21,0,88.4,3,13,-10,16,1,41,41.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,0,324,61,5.31,64,4.42,2,26:52,2:43,3.0,did not cover,38.0,under
IND,2022-12-17,36,4,1,0,0,47.5,5,1,Sat,14,15,@,MIN,L 36-39 (OT),24,92,3.8,1,34,55,61.8,426,4,7,34,2,95.0,36,39,-3,75,7,305,43.6,0,0,0,1,0,1,2,0,0,0,0,5,4,4,1,1,0,341,79,4.32,86,6.02,1,36:37,4:01,3.5,covered,47.5,over
MIN,2022-12-17,39,1,0,0,1,47.5,2,3,Sat,14,15,,IND,W 39-36 (OT),43,171,4.0,0,19,33,57.6,170,1,3,12,0,81.6,39,36,3,75,6,231,38.5,1,0,0,0,0,0,0,0,0,1,0,2,3,3,5,5,0,518,86,6.02,79,4.32,3,33:20,4:01,-3.5,did not cover,47.5,over
