Team,Date,Pts,TD,TD2,KRTD,Blck,Over/Under,TD3,TO,Day,G#,Week,,Opp,Result,Opp. RushingAtt,Opp. RushingYds,Opp. RushingY/A,Opp. RushingTD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingCmp%,Opp. PassingYds,Opp. PassingTD,Opp. PassingSk,Opp. PassingYds4,Opp. PassingInt,Opp. PassingRate,Pts5,PtsO,PtDif,PC,PuntingPnt,PuntingYds,PuntingY/P,PuntingBlck,KRTD6,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,TD7,KickingXPA,KickingXPM,KickingAtt,KickingMd,Sfty,Tot. Off.Tot,Tot. Off.Ply,Tot. Off.Y/P,Tot. Off.DPly,Tot. Off.DY/P,Tot. Off.TO,Tot. Off.ToP,Tot. Off.Time,VegasSpread,Vegasvs. Line,VegasOver/Under,VegasOU Result
GNB,2022-11-17,17,3,1,0,0,41.0,4,0,Thu,11,11,,TEN,L 17-27,32,88,2.8,1,24,29,82.8,320,3,3,17,1,132.8,17,27,-10,44,4,189,47.3,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,271,59,4.59,64,6.38,0,27:32,3:02,-3.0,did not cover,41.0,over
TEN,2022-11-17,27,2,0,0,0,41.0,2,1,Thu,10,11,@,GNB,W 27-17,19,56,2.9,0,24,39,61.5,215,2,1,12,0,93.4,27,17,10,44,3,152,50.7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,408,64,6.38,59,4.59,1,32:28,3:02,3.0,covered,41.0,over
ATL,2022-11-20,27,1,2,1,0,49.0,3,2,Sun,11,11,,CHI,W 27-24,41,160,3.9,2,14,21,66.7,128,1,4,25,1,79.1,27,24,3,51,3,139,46.3,0,1,0,0,0,0,1,0,0,0,0,3,3,3,2,1,0,280,53,5.28,66,4.36,2,24:50,2:57,-2.5,covered,49.0,over
CHI,2022-11-20,24,1,1,0,0,49.0,3,1,Sun,11,11,@,ATL,L 24-27,33,149,4.5,1,13,20,65.0,131,1,0,0,0,100.2,24,27,-3,51,4,160,40.0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,2,2,0,288,66,4.36,53,5.28,1,35:10,2:57,2.5,did not cover,49.0,over
BUF,2022-11-20,31,3,0,0,0,50.0,3,0,Sun,10,11,,CLE,W 31-23,26,80,3.1,0,28,41,68.3,316,3,1,8,0,115.5,31,23,8,54,2,99,49.5,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,0,357,62,5.76,68,5.82,0,28:38,3:15,-7.5,covered,50.0,over
CLE,2022-11-20,23,1,1,0,0,50.0,2,1,Sun,10,11,@,BUF,L 23-31,33,171,5.2,1,18,27,66.7,186,1,2,11,0,98.7,23,31,-8,54,3,127,42.3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,6,0,396,68,5.82,62,5.76,1,31:22,3:15,7.5,did not cover,50.0,over
IND,2022-11-20,16,1,1,0,0,45.5,2,1,Sun,11,11,,PHI,L 16-17,33,141,4.3,1,18,25,72.0,173,1,3,17,0,104.2,16,17,-1,33,4,208,52.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,284,62,4.58,61,5.15,1,30:38,2:56,6.5,covered,45.5,under
PHI,2022-11-20,17,0,1,0,0,45.5,1,2,Sun,10,11,@,IND,W 17-16,26,99,3.8,1,23,32,71.9,185,0,4,28,0,86.1,17,16,1,33,4,167,41.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,0,314,61,5.15,62,4.58,2,29:22,2:56,-6.5,did not cover,45.5,under
DEN,2022-11-20,16,2,0,0,0,41.0,2,0,Sun,10,11,,LVR,L 16-22 (OT),24,109,4.5,0,23,37,62.2,298,2,1,9,0,105.5,16,22,-6,38,4,187,46.8,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,3,0,320,62,5.16,62,6.56,0,28:57,3:11,-2.5,did not cover,41.0,under
LVR,2022-11-20,22,0,1,0,0,41.0,1,0,Sun,10,11,@,DEN,W 22-16 (OT),28,94,3.4,1,24,31,77.4,226,0,3,21,0,97.0,22,16,6,38,4,187,46.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,0,407,62,6.56,62,5.16,0,32:39,3:11,2.5,covered,41.0,under
